,model,name,MCC,seed
66,svm,svm_seed_13_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.259,13_skf_1
67,svm,svm_seed_13_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.317,13_skf_2
68,svm,svm_seed_13_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.17800000000000002,13_skf_3
69,svm,svm_seed_13_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.233,13_skf_4
70,svm,svm_seed_14_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.39,14_skf_0
71,svm,svm_seed_14_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.353,14_skf_1
72,svm,svm_seed_14_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.259,14_skf_2
73,svm,svm_seed_14_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.23800000000000002,14_skf_3
75,svm,svm_seed_15_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.337,15_skf_0
76,svm,svm_seed_15_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.275,15_skf_1
77,svm,svm_seed_15_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.32799999999999996,15_skf_2
78,svm,svm_seed_15_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.315,15_skf_3
79,svm,svm_seed_15_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.261,15_skf_4
80,svm,svm_seed_16_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.35,16_skf_0
81,svm,svm_seed_16_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.23800000000000002,16_skf_1
82,svm,svm_seed_16_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.207,16_skf_2
83,svm,svm_seed_16_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.23800000000000002,16_skf_3
84,svm,svm_seed_16_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.23800000000000002,16_skf_4
85,svm,svm_seed_17_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.29100000000000004,17_skf_0
86,svm,svm_seed_17_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.3,17_skf_1
87,svm,svm_seed_17_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.337,17_skf_2
89,svm,svm_seed_17_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.23399999999999999,17_skf_4
90,svm,svm_seed_18_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.275,18_skf_0
91,svm,svm_seed_18_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.309,18_skf_1
92,svm,svm_seed_18_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.233,18_skf_2
93,svm,svm_seed_18_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.265,18_skf_3
94,svm,svm_seed_18_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.332,18_skf_4
95,svm,svm_seed_19_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.284,19_skf_0
96,svm,svm_seed_19_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.29100000000000004,19_skf_1
97,svm,svm_seed_19_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.359,19_skf_2
98,svm,svm_seed_19_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.207,19_skf_3
99,svm,svm_seed_19_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.3,19_skf_4
